FIRE_ID,FIRE_NAME,YEAR,ACRES,latitude,longitude
CA3601111879719850712,TULARE 4,1985,1290.0,36.01068951399146,-118.79711775724613
CA3544311877719850503,ADELAIDE,1985,1054.0,35.44289907123969,-118.7756056242423
CA3673911825219850706,ONION,1985,8583.0,36.74302389513307,-118.24826366549368
CA3460411991919850912,UNNAMED,1985,2720.0,34.60082435457619,-119.92182966763123
CA3269911692719850630,MILLER,1985,7809.0,32.70068842581846,-116.91858269748248
CA3340011734219850701,ROBLAR,1985,7453.0,33.40120498353335,-117.34473437267053
CA3293211694719850727,SYCAMORE,1985,1012.0,32.93092486534686,-116.94666315729073
CA3406011868219851014,PIUMA FIRE,1985,5425.0,34.04736506281666,-118.69672493891741
CA3424911865419851014,BOX CANYON (PIONEER) FIRE,1985,1247.0,34.24788458924006,-118.65198435592802
CA3411711885719850630,SHERWOOD FIRE,1985,3897.0,34.105370811148724,-118.86445367102112
CA3391911778419850811,SHELL,1985,1425.0,33.92147999432733,-117.78414306951026
CA3428411864819851014,HUMMINGBIRD,1985,2425.0,34.286859833762165,-118.65297884631825
CA3425211892819851014,PEACH HILL,1985,1992.0,34.2511589444903,-118.89936345806608
CA3443011922019850703,BLACK MOUNTAIN,1985,1250.0,34.42967293820096,-119.22384707197725
CA3341311738919851004,UNNAMED,1985,1062.0,33.41512788403171,-117.38831925817038
CA3451011935419850701,WHEELER 2,1985,126854.0,34.499237936430106,-119.33150078471252
CA3441311914919851014,FERNDALE,1985,46724.0,34.39490036506188,-119.12169855918268
CA3386711663319850627,CABANZO,1985,14091.0,33.865550065560846,-116.66409872191092
CA3545811870719850628,RICH BAR,1985,8141.0,35.45538822689433,-118.70665219466326
CA3454011961519850523,UNNAMED,1985,2620.0,34.54274393777201,-119.61398065907656
CA3407111891719851014,DECKER,1985,6945.0,34.06355227260781,-118.91569583285538
CA3695911862619850625,DOUGHERTY,1985,1656.0,36.961007735114876,-118.62377646573209
CA3671511866219850728,SUGARLOAF,1985,2882.0,36.71665208940598,-118.65876466446726
CA3706211934319850715,SYCAMORE 1,1985,1469.0,36.98107809295642,-119.33936877538572
CA3641011879419870829,CASE,1987,4960.0,36.407733925163,-118.79478845596853
CA3576511828619870830,FAY,1987,10177.0,35.764454829797835,-118.28467383465384
CA3389411671019870614,VERBENIA,1987,1384.0,33.89499023141711,-116.7083326005141
NV3603411554619870612,ZIPPER,1987,6306.0,36.035507943744605,-115.5450321293889
CA3488111871919870401,SYCAMORE CANYON,1987,1894.0,34.8813278720165,-118.72184285016085
CA3512811868019870911,UNNAMED,1987,3285.0,35.12926979199127,-118.68091019831569
CA3516711873119870911,UNNAMED,1987,1219.0,35.1672892281243,-118.7314812621744
CA3510711875219870505,UNNAMED,1987,2437.0,35.106277053864645,-118.75068103207504
CA3689911932019870801,UNNAMED,1987,2273.0,36.89754974771967,-119.32234879419244
CA3289011701019870618,ASSIST 79,1987,2049.0,32.89271830932925,-117.0229587893009
CA3684611939119870831,RED MOUNTAIN,1987,4351.0,36.84831159017256,-119.39279117854456
CA3318111704219871004,GRADE,1987,2210.0,33.18265488072023,-117.04237358921645
CA3360911722119871003,ANTELOPE,1987,3238.0,33.6106219932376,-117.22766822408795
CA3431911917319871111,PEPPERTREE CONTROLLE,1987,1242.0,34.316084830456795,-119.17264483830293
CA3459411855519870920,RUBY,1987,10001.0,34.59120206015645,-118.55711181369496
CA3334511692919871003,PALOMAR,1987,10256.0,33.348381955197674,-116.92989099672134
CA3466411915219871002,FISH,1987,4052.0,34.664008019982,-119.15285155340766
CA3427111744319870531,TRUCK,1987,1084.0,34.27062329136247,-117.44253700229696
CA3432611717719870823,JEEP,1987,1527.0,34.3250599288814,-117.17686049346716
CA3694211921919870801,UNNAMED,1987,1318.0,36.94257009983003,-119.21836403689626
CA3407511623319870831,PAUL,1987,1145.0,34.01016311302085,-116.24618193498152
CA3374811752419870909,SILVERADO,1987,5553.0,33.75386474334676,-117.52012200598331
CA3281011635519890621,UNNAMED,1989,1847.0,32.81676332199228,-116.35599706805269
CA3656911816319890330,OLIVAS II,1989,1229.0,36.567952661612125,-118.15762916563587
CA3260211651219890705,DOGPATCH 2,1989,1188.0,32.602830731095764,-116.50980459372913
CA3374411740219890705,CONCORDIA,1989,1645.0,33.74421241212118,-117.40100360983952
CA3382811687619890714,POPPET,1989,1239.0,33.83122919054019,-116.87356314436853
CA3331611676519890410,WESTFORK CHAPARRAL,1989,1449.0,33.315970063627105,-116.76430073376355
CA3657311903619890822,BEAR MTN VMP,1989,2373.0,36.5719361504107,-119.03842514197422
CA3489811867019890106,LECHERIA CANYON,1989,1534.0,34.89871954418478,-118.6718074562656
CA3693111912219890729,UNNAMED,1989,8742.0,36.93278821207409,-119.11369759517042
CA3327711740119890723,UNNAMED,1989,2303.0,33.27691050223491,-117.40361041529499
CA3341011741819890317,UNNAMED,1989,1791.0,33.40936417071012,-117.41528253059707
CA3464911838419890628,SAN FRANCISCO,1989,2343.0,34.64454948328032,-118.38322447828052
CA3440411844019890730,PACY,1989,1403.0,34.395684645570206,-118.43457535118941
CA3363411744519890627,ORTEGA,1989,8503.0,33.6242806045822,-117.41489738305673
CA3285711638619890709,THING 2,1989,4650.0,32.861027590648,-116.38736088666013
CA3342111694719890729,VAIL,1989,15632.0,33.417553095714375,-116.94509869186345
CA3350811746719891018,MATEO,1989,13280.0,33.50903506120446,-117.46618420831457
CA3698611933819890723,BURROUGH,1989,1483.0,36.986488043047714,-119.33963142883297
